,text,tags
0,While bismuth compounds Pepto Bismol decreased the number of bowel movements in those with travelers diarrhea  they do not decrease the length of illness  Anti motility agents like loperamide are also effective at reducing the number of stools but not the duration of disease  These agents should be used only if bloody diarrhea is not present   Diosmectite  a natural aluminomagnesium silicate clay  is effective in alleviating symptoms of acute diarrhea in children  and also has some effects in chronic functional diarrhea  radiation induced diarrhea  and chemotherapy induced diarrhea  Another absorbent agent used for the treatment of mild diarrhea is kaopectate   Racecadotril an antisecretory medication may be used to treat diarrhea in children and adults  It has better tolerability than loperamide  as it causes less constipation and flatulence,"O,B-med,I-med,B-med,I-med,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,B-med,I-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,B-diag"
1,Diarrhea  also spelled diarrhoea  is the condition of having at least three loose  liquid  or watery bowel movements each day  It often lasts for a few days and can result in dehydration due to fluid loss  Signs of dehydration often begin with loss of the normal stretchiness of the skin and irritable behaviour  This can progress to decreased urination  loss of skin color  a fast heart rate  and a decrease in responsiveness as it becomes more severe  Loose but non watery stools in babies who are exclusively breastfed  however  are normal,"B-diag,O,O,B-diag,O,O,O,I-diag,O,O,O,O,O,O,O,B-diag,I-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,I-diag,B-diag,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,I-diag,O,B-diag,I-diag,I-diag,O,O,B-diag,O,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,Antiretroviral therapy ART is recommended for all HIV infected individuals to reduce the risk of disease progression  ART also is recommended for HIV infected individuals for the prevention of transmission of HIV  Patients starting ART should be willing and able to commit to treatment and understand the benefits and risks of therapy and the importance of adherence  Patients may choose to postpone therapy  and providers  on a case by case basis  may elect to defer therapy on the basis of clinical and or psychosocial factors,"B-med,I-med,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,The following drugs are considered as DMARDs  methotrexate  hydroxychloroquine  sulfasalazine  leflunomide  TNF alpha inhibitors certolizumab  infliximab and etanercept  abatacept  and anakinra  Rituximab and tocilizumab are monoclonal antibodies and are also DMARDs  Use of tocilizumab is associated with a risk of increased cholesterol levels   Hydroxychloroquine  apart from its low toxicity profile  is considered effective in the moderate RA treatment   The most commonly used agent is methotrexate with other frequently used agents including sulfasalazine and leflunomide  Leflunomide is effective when used from      months  with similar effectiveness to methotrexate when used for   years  Sulfasalazine also appears to be most effective in the short term treatment of rheumatoid arthritis  Sodium aurothiomalate gold and cyclosporin are less commonly used due to more common adverse effects  However  cyclosporin was found to be effective in the progressive RA when used up to one year  Agents may be used in combinations however  people may experience greater side effects  Methotrexate is the most important and useful DMARD and is usually the first treatment  A combined approach with methotrexate and biologics improves ACR    HAQ scores and RA remission rates  Triple therapy consisting of methotrexate  sulfasalazine and hydroxychloroquine may also effectively control disease activity  Adverse effects should be monitored regularly with toxicity including gastrointestinal  hematologic  pulmonary  and hepatic  Side effects such as nausea  vomiting or abdominal pain can be reduced by taking folic acid,"O,O,O,O,O,O,B-med,B-med,B-med,B-med,B-med,B-med,I-med,I-med,B-med,B-med,O,B-med,O,O,O,B-med,O,B-med,O,B-med,I-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,B-med,I-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,B-med,I-med,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,B-med,O,B-diag,I-diag,O,O,O,O,O,B-diag,I-diag"
4,The goals of treatment are to reduce pain  decrease inflammation  and improve a persons overall functioning  This may be helped by balancing rest and exercise  the use of splints and braces  or the use of assistive devices  Pain medications  steroids  and NSAIDs are frequently used to help with symptoms  Disease modifying antirheumatic drugs DMARDs  such as hydroxychloroquine and methotrexate  may be used to try to slow the progression of disease  Biological DMARDs may be used when disease does not respond to other treatments  However  they may have a greater rate of adverse effects  Surgery to repair  replace  or fuse joints may help in certain situations  Most alternative medicine treatments are not supported by evidence,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,I-med,O,O,B-med,O,B-med,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
5,Bats are the most common source of rabies in humans in North and South America  Western Europe  and Australia  In the United States  there were    cases of human rabies from               of which were attributed to bats  In North America  about half of human rabies instances are cryptic  meaning that the patient has no known bite history  While it has been speculated that rabies virus could be transmitted through aerosols  studies of the rabies virus have concluded that this is only feasible in limited conditions  These conditions include a very large colony of bats in a hot and humid cave with poor ventilation  While two human deaths in      and      had been tentatively attributed to aerosolization of the rabies virus after entering a cave with bats   investigations of the   reported human cases revealed that both infections could be explained by means other than aerosol transmission   It is instead generally thought that most instances of cryptic rabies are the result of an unknown bat bite  Bites from a bat can be so small that they are not visible without magnification equipment  for example  Outside of bites  rabies virus exposure can also occur if infected fluids come in contact with a mucous membrane or a break in the skin  Rabies virus has also been transmitted when an infected human unknowingly dies of rabies  and their organs are transplanted to others,"O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O"
6,In       following the outbreak of severe acute respiratory syndrome SARS which had begun the prior year in Asia  and secondary cases elsewhere in the world  the World Health Organization WHO issued a press release stating that a novel coronavirus identified by a number of laboratories was the causative agent for SARS  The virus was officially named the SARS coronavirus SARS CoV  More than       people were infected  about ten percent of whom died,"O,O,O,O,O,B-diag,I-diag,I-diag,I-diag,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag"
7,Bacterial vaginosis is caused by bacteria that change the vaginal microbiota caused by an overgrowth of bacteria that crowd out the Lactobacilli species that maintain healthy vaginal microbial populations  Other non bacterial vaginal infections include  yeast infection candidiasis  Trichomonas vaginalis trichomoniasis  Bacterial meningitis is a bacterial inflammation of the meninges  that is  the protective membranes covering the brain and spinal cord  Bacterial pneumonia is a bacterial infection of the lungs  Urinary tract infection is predominantly caused by bacteria  Symptoms include the strong and frequent sensation or urge to urinate  pain during urination  and urine that is cloudy  The main causal agent is Escherichia coli  Urine is typically sterile but contains a variety of salts  and waste products  Bacteria can ascend into the bladder or kidney and causing cystitis and nephritis  Bacterial gastroenteritis is caused by enteric  pathogenic bacteria  These pathogenic species are usually distinct from the usually harmless bacteria of the normal gut flora  But a different strain of the same species may be pathogenic  The distinction is sometimes difficult as in the case of Escherichia  Bacterial skin infections include  Impetigo is a highly contagious bacterial skin infection commonly seen in children  It is caused by Staphylococcus aureus  and Streptococcus pyogenes  Erysipelas is an acute streptococcus bacterial infection of the deeper skin layers that spreads via with lymphatic system  Cellulitis is a diffuse inflammation of connective tissue with severe inflammation of dermal and subcutaneous layers of the skin  Cellulitis can be caused by normal skin flora or by contagious contact  and usually occurs through open skin  cuts  blisters  cracks in the skin  insect bites  animal bites  burns  surgical wounds  intravenous drug injection  or sites of intravenous catheter insertion  In most cases it is the skin on the face or lower legs that is affected  though cellulitis can occur in other tissues,"O,O,O,O,O,O,O,O,I-diag,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-diag,O,B-diag,I-diag,B-diag,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-diag,O,O,O,O,O,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,B-diag,O,O,O,O,I-diag,B-diag,O,O,B-diag,I-diag,B-med,I-med,I-med,O,O,O,O,I-med,I-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
8,One of the bacterial diseases with the highest disease burden is tuberculosis  caused by Mycobacterium tuberculosis bacteria  which kills about   million people a year  mostly in sub Saharan Africa  Pathogenic bacteria contribute to other globally important diseases  such as pneumonia  which can be caused by bacteria such as Streptococcus and Pseudomonas  and foodborne illnesses  which can be caused by bacteria such as Shigella  Campylobacter  and Salmonella  Pathogenic bacteria also cause infections such as tetanus  typhoid fever  diphtheria  syphilis  and leprosy  Pathogenic bacteria are also the cause of high infant mortality rates in developing countries,"O,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,B-diag,I-diag,B-diag,B-diag,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
9,Although the vast majority of bacteria are harmless or beneficial to ones body  a few pathogenic bacteria can cause infectious diseases  The most common bacterial disease is tuberculosis  caused by the bacterium Mycobacterium tuberculosis  which affects about   million people mostly in sub Saharan Africa  Pathogenic bacteria contribute to other globally important diseases  such as pneumonia  which can be caused by bacteria such as Streptococcus and Pseudomonas  and foodborne illnesses  which can be caused by bacteria such as Shigella  Campylobacter  and Salmonella  Pathogenic bacteria also cause infections such as tetanus  typhoid fever  diphtheria  syphilis  and Hansens disease  They typically range between   and   micrometers in length,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,B-diag,I-diag,B-diag,B-diag,O,B-diag,O,O,O,O,O,O,O,O,O"
